标题,价格,面积,装修,类型,小区,小区名称,行政区,社区
月付 直租 高新区 嘉年华青年城 天府五街 美年广场 软件园,700,12平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
华府地铁口精装套一 交通便利 出行方便 温馨舒适 拎包入住,1500,55平方米,精装修,普通住宅,新怡华庭东区>高新区>南延线,新怡华庭东区,高新区,南延线
金融城新上好房！银泰中心华悦府豪装现代风套一 中国华商 花漾,8000,123平方米,豪华装修,普通住宅,成都银泰中心华悦府>高新区>金融城,成都银泰中心华悦府,高新区,金融城
可短租 可月付 全景落地窗 精装大套一出租 朗御 都汇华庭,5500,90平方米,精装修,公寓,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
南湖立交 南湖春天 新出好房 价格美丽 性价比超高 拎包入住,1600,55平方米,精装修,普通住宅,南湖春天>天府新区>南湖,南湖春天,天府新区,南湖
海椒市牛市口 全装独立标间 配套齐全 地铁高架边 拎包入住,1200,33平方米,简单装修,普通住宅,东桂苑>锦江>海椒市,东桂苑,锦江,海椒市
民兴南苑新出套一出租 家具家电齐全 随时可以拎包入住,1300,56平方米,精装修,普通住宅,民兴南苑>成华>二仙桥,民兴南苑,成华,二仙桥
高新去精装公寓水电气全通,1100,39平方米,精装修,公寓,龙城高新天地>郫都>犀浦,龙城高新天地,郫都,犀浦
急租！天府五街地铁口 嘉年华精装套一 临近软件园 居家感十足,2000,38平方米,精装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
壹中心 1室1厅1卫 1500元月 南北通透 精装修,1500,40平方米,精装修,普通住宅,壹中心>龙泉驿>总站片区,壹中心,龙泉驿,总站片区
清江西路地铁口旁，对面就是西单商场，拎包入住，随时看房,2000,54平方米,精装修,普通住宅,揽胜金沙>青羊>金沙,揽胜金沙,青羊,金沙
华阳地铁口 石化大厦 金地天府城 六菱社区 华阳佳苑可月付,550,16平方米,毛坯,普通住宅,华阳佳苑>天府新区>华阳,华阳佳苑,天府新区,华阳
诚租！邻地铁口 西单万瑞 豪华装修套一 南北通透 拎包入住,3000,68平方米,精装修,普通住宅,仁和金沙>青羊>金沙,仁和金沙,青羊,金沙
春熙路太古里 恒大都汇华庭恒大广场晶融汇 米白套一 温馨舒适,4000,68平方米,精装修,普通住宅,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
眞实房源必看好房，65平正规套一，性价比高，温馨居家随时看,2400,65平方米,精装修,普通住宅,首创爱这城>成华>建设路,首创爱这城,成华,建设路
精装套一出租！新城市广场 花牌坊街 西大街 国信广场 包物业,1990,50平方米,精装修,普通住宅,新城市广场>青羊>新城市广场,新城市广场,青羊,新城市广场
整租一室户 免中介 公寓独立卫浴精装，独门独户 随时可看,1890,38平方米,精装修,公寓,鹭岛国际四期>武侯>外双楠,鹭岛国际四期,武侯,外双楠
春熙路 太古里 流星花园 漂亮套一 民宿风格 地铁旁,3300,42平方米,精装修,普通住宅,流星花园>锦江>东大街,流星花园,锦江,东大街
押一付一 月付短租 文化宫地铁口 西村 仁和春天 拧包入住,500,14平方米,精装修,平房,金沙春>青羊>府南新区,金沙春,青羊,府南新区
高新区 新川科技园 6号线1号线地铁口 软件园旁 loft,1499,40平方米,精装修,公寓,乐活公社>高新区>中和,乐活公社,高新区,中和
仁和金沙清江西路地铁口楼下就是交通便利家电齐全拎包入手慢无,3199,68平方米,精装修,普通住宅,仁和金沙>青羊>金沙,仁和金沙,青羊,金沙
天府二街 复城国际广场复地雍湖湾精装出租 可月付,2300,46平方米,精装修,公寓,复地雍湖湾>高新区>大源,复地雍湖湾,高新区,大源
高新嘉年华青年城smart公寓 精装套一直租环境良好干净整洁,2200,60平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
科华路7号线地铁口美丽南庭精装套1，三度空间，魏玛国际,2200,58平方米,精装修,普通住宅,武海美丽南庭>武侯>火车南站,武海美丽南庭,武侯,火车南站
家电齐全，拎包入住，气不通，电磁炉做饭,900,35平方米,简单装修,普通住宅,龙城国际五期>郫都>红光,龙城国际五期,郫都,红光
地鉄5号线洞子口站400米 精装修拎包入住 房屋空置看房方便,1650,53平方米,精装修,普通住宅,新桥丽景(B区)>金牛>五块石,新桥丽景(B区),金牛,五块石
(精)堰山和畔精装修套一价格真心便宜,1300,50平方米,精装修,普通住宅,堰山和畔三期>都江堰>都江堰城区,堰山和畔三期,都江堰,都江堰城区
正规套一 五块石 火车北站 龙湖天街 荷花池 万达广场 爽翻,1350,50平方米,精装修,普通住宅,五丰苑>金牛>五块石,五丰苑,金牛,五块石
整租套一 配套齐全 天府一街 世豪广场 环球中心 可以月付！,1800,50平方米,精装修,公寓,清凤时代城>高新区>大源,清凤时代城,高新区,大源
布鲁明顿广场 1室1厅1卫 3100元月 61平 电梯房,3100,61平方米,精装修,普通住宅,布鲁明顿广场>高新区>金融城,布鲁明顿广场,高新区,金融城
低价抢租蓝光空港T5区好房型 不会让你白跑,1600,38平方米,精装修,普通住宅,蓝光空港国际城(三期)>双流>航空港,蓝光空港国际城(三期),双流,航空港
建设路佳州星城太阳公元sm广场龙湖三千集拎包入住,2500,60平方米,精装修,普通住宅,佳州星城>成华>建设路,佳州星城,成华,建设路
流星花园 loft整租 只住家 民宿装修 拎包入住 太古里旁,3500,45平方米,精装修,普通住宅,流星花园>锦江>东大街,流星花园,锦江,东大街
人民北路地铁口 龙湖上城 可月付套一 拎包入住,3280,56平方米,精装修,普通住宅,龙湖上城>金牛>人民北路,龙湖上城,金牛,人民北路
带楼顶花园 可月付0中介 中和中学 世纪城 天府三街 软件园,1300,40平方米,精装修,普通住宅,润兰庭苑(二期)>高新区>中和,润兰庭苑(二期),高新区,中和
loft套一 万科天荟 成都理工大学 7 8号线 东郊记忆,2050,50平方米,简单装修,普通住宅,招商中央华城>成华>杉板桥,招商中央华城,成华,杉板桥
建设路 沙河边 精装套一 全新装修 新小区 物业安保非常好,2400,51平方米,精装修,普通住宅,首创天禧68>成华>建设路,首创天禧68,成华,建设路
华西医院旁省体育馆华西坝中学路精装标间出租可短租可月付,1600,40平方米,精装修,普通住宅,中学路33号院>武侯>小天竺街,中学路33号院,武侯,小天竺街
南湖套一出租 家电齐全 看房方便 紧邻地铁1号线,1600,50平方米,精装修,普通住宅,南湖春天>天府新区>南湖,南湖春天,天府新区,南湖
上林西江旁边 泰江兰亭小区 世纪广场附近正规精装煮套一,1316,50平方米,精装修,普通住宅,泰江兰庭>崇州>崇州城区,泰江兰庭,崇州,崇州城区
搞快地铁近3楼套一1300精装全配空调,1300,45平方米,精装修,普通住宅,石人正街25号院>青羊>西南财大,石人正街25号院,青羊,西南财大
东郊记忆  建设路 sm广场 理工大学 万科天会春熙路无中介,1980,58平方米,精装修,普通住宅,东城映象A区>成华>圣灯路,东城映象A区,成华,圣灯路
新桥丽景(B区) 1室1厅1卫 1600元月 精装修,1600,53平方米,精装修,普通住宅,新桥丽景(B区)>金牛>五块石,新桥丽景(B区),金牛,五块石
月付无中介 怡心湖 五号线 苏宁易购 红星美凯龙南湖 牧华路,1300,60平方米,精装修,普通住宅,天府鹤林东区>天府新区>华阳,天府鹤林东区,天府新区,华阳
押一付三 温江城区 免物管费 大南街三楼套一带空调750元,750,50平方米,简单装修,普通住宅,大南街61号院>温江>温江城区,大南街61号院,温江,温江城区
实拍孵化园 国家电网 中国华商 枫丹国际 中航AFC精装套一,3000,57平方米,精装修,普通住宅,布鲁明顿广场>高新区>金融城,布鲁明顿广场,高新区,金融城
合能小区精装套一出租，可做饭，拎包入住地铁口300米楼下菜市,1400,48平方米,精装修,普通住宅,滨江和城>天府新区>华阳,滨江和城,天府新区,华阳
地铁口单独套一便宜出租。,750,20平方米,简单装修,普通住宅,龙平路69号院>龙泉驿>总站片区,龙平路69号院,龙泉驿,总站片区
东城攻略精装电梯套一，房东自住配置，紧挨地铁口,2000,46平方米,精装修,普通住宅,合能东城攻略>锦江>海椒市,合能东城攻略,锦江,海椒市
新小区锦城南府套一对中庭非常安静视野采光极好装修居家温馨风格,2500,59平方米,精装修,普通住宅,锦城南府>高新区>大源,锦城南府,高新区,大源
3号线昭觉寺南路地铁站 驷马桥 动物园 高笋塘 精装修套一,1550,50平方米,精装修,普通住宅,金科星耀天都>成华>驷马桥,金科星耀天都,成华,驷马桥
电梯套一！红牌楼地铁口 武侯生活广场 高升桥 太平园 双楠,2500,62.1平方米,精装修,普通住宅,锦官红南港>武侯>红牌楼,锦官红南港,武侯,红牌楼
诚租！邻地铁口 西单万瑞 豪华装修套一 南北通透 拎包入住,3200,68平方米,精装修,普通住宅,仁和金沙>青羊>金沙,仁和金沙,青羊,金沙
无中介押一付一城中汇驷马桥电子科大红星桥金牛万达春熙路339,1530,38平方米,豪华装修,普通住宅,李家沱小区>金牛>李家沱,李家沱小区,金牛,李家沱
高新 大源 世豪广场 豪华套一 家具全新齐全 通气隔音好急租,2500,55平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
润富国际精装修套一，中海国际金融城交子大道悠方icp仁和春天,3000,54平方米,豪华装修,普通住宅,润富国际花园(商住楼)>高新区>金融城,润富国际花园(商住楼),高新区,金融城
玉双路52号院 1室1厅1卫 900元月 24平,900,24平方米,简单装修,公寓,玉双路52号院>成华>东风路,玉双路52号院,成华,东风路
整租丨金色夏威夷可月付可短租交通方便家电齐全随时看房实图实价,1600,35平方米,简单装修,普通住宅,金色夏威夷>青羊>八宝街,金色夏威夷,青羊,八宝街
保利星座精装套一出租 温馨舒适 天府三街 大源世豪广场,1700,48平方米,精装修,公寓,保利星座>高新区>大源,保利星座,高新区,大源
过年了房子特价直租啦！,899,42.6平方米,精装修,公寓,鑫北广场>新都>斑竹园,鑫北广场,新都,斑竹园
（房东面签）驷马桥地铁口，精装标间，水电气三通，家具家电齐全,1500,60平方米,精装修,普通住宅,芙蓉华庭>金牛>高笋塘,芙蓉华庭,金牛,高笋塘
（杜绝虚假）房东面签，3号线驷马桥站，电梯房，有空调真实图片,1500,60平方米,精装修,普通住宅,芙蓉华庭>金牛>高笋塘,芙蓉华庭,金牛,高笋塘
（面签房东）精装电梯套一，近双地铁，临驷马桥李家沱，拎包入住,1850,60平方米,精装修,普通住宅,经典再现>金牛>高笋塘,经典再现,金牛,高笋塘
泰合财富中心东二环地铁口精装公寓办公房有钥匙未来中心天誉,8800,110平方米,精装修,其他,泰合国际财富中心>锦江>攀成钢,泰合国际财富中心,锦江,攀成钢
整租丨九里提地铁站附近交通方便家电齐全押一付一整租套一,1200,24平方米,毛坯,平房,天府名苑>金牛>九里堤,天府名苑,金牛,九里堤
电梯全配拎包入住精致套一，性价比高，合同签约灵活，多套可选！,2100,50平方米,精装修,普通住宅,锦西人家二期>金牛>营门口,锦西人家二期,金牛,营门口
嘉年华青年城跃层套一出租 押一付一无中介 天府三五街 软件园,2300,35平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
高新区天府三街 保利星座 锦城南府 精装套一 通燃气 地铁口,1800,48平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
新上好房套一   双地铁口 周边生活配套齐全,1800,50平方米,精装修,普通住宅,兴城嘉苑三期>成华>火车东站,兴城嘉苑三期,成华,火车东站
现实房源，房主直签，押一付一，无杂费,1100,30平方米,精装修,公寓,忠烈祠西街80号院>青羊>八宝街,忠烈祠西街80号院,青羊,八宝街
春熙路太古里 牛市路精装大套一实图出租拎包入住随时看房,3880,70平方米,精装修,普通住宅,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
高新区 家乐福 海洋馆 一号线华阳地铁口 精装套一 拎包入住,1700,44平方米,精装修,公寓,金地天府城(商住楼)>高新区>南延线,金地天府城(商住楼),高新区,南延线
天府五街 华府大道 新川科技园 华润时光里 精装套一拎包入住,2000,40平方米,精装修,公寓,华润时光里>双流>华府,华润时光里,双流,华府
春熙路 合江亭 银唐国际 精装套一 配套齐全 随时看房,2400,48平方米,精装修,普通住宅,银唐国际寓所>锦江>合江亭,银唐国际寓所,锦江,合江亭
龙湖精装标间公寓！家具家电齐全！中间楼层采光好！拎包即可入住,1100,35平方米,精装修,公寓,龙湖时代天街>高新西区>西源大道,龙湖时代天街,高新西区,西源大道
地铁7号线龙爪堰站！无中介！月付可短租！免费看房,600,46平方米,毛坯,普通住宅,红运花园>武侯>五大花园,红运花园,武侯,五大花园
静居寺牛沙小区 全装套一 配套齐全 地铁近 拎包入住,1200,45平方米,简单装修,普通住宅,牛沙小区>锦江>牛沙路,牛沙小区,锦江,牛沙路
软件园新川科技园华府大道天府五街嘉年华青年城smart公寓,2100,69平方米,精装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
高新区 软件园 一号线 六号线地铁口 loft跃层套一,2000,70平方米,精装修,公寓,乐活公社>高新区>中和,乐活公社,高新区,中和
锦江区 标准套一 川师大 华宇广场 塔子山公园  成都东站,2299,60平方米,精装修,普通住宅,花果新居一期>锦江>川师,花果新居一期,锦江,川师
SOHO我的寓所 东门大桥 太古里 网红装修 温馨宜居,3000,40平方米,精装修,普通住宅,SOHO我的寓所>锦江>东大街,SOHO我的寓所,锦江,东大街
九眼桥套一整租 家电齐全 押一付一 户型地段价格真实拎包入住,1300,30平方米,简单装修,普通住宅,下莲池街8号院>锦江>合江亭,下莲池街8号院,锦江,合江亭
金色校园广场标间出租 整租 方便看房 家具家电全齐,800,38平方米,简单装修,普通住宅,金色校园广场>双流>航空港,金色校园广场,双流,航空港
石化大厦 海昌路 华阳 石化家园 双华麓港 宏达世纪锦城月付,500,22平方米,精装修,普通住宅,石化家园>天府新区>华阳,石化家园,天府新区,华阳
太古里春熙路IFS恒大都汇华庭时代豪庭精装套一大客厅明亮温馨,4200,78平方米,精装修,普通住宅,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
市中心 人民北路地铁口 龙湖上城 高品质LOFT套一出租,2800,53平方米,豪华装修,普通住宅,龙湖上城(商住楼)>金牛>人民北路,龙湖上城(商住楼),金牛,人民北路
文殊院套一整租 押一付一 拎包入住 家电齐全 价格可谈 月付,1600,52平方米,简单装修,普通住宅,新城市广场>青羊>新城市广场,新城市广场,青羊,新城市广场
锦通大厦 马鞍小学 梁家巷 星宇大厦 直签 无中介,2200,49平方米,精装修,公寓,银海中心(商住楼)>金牛>马鞍路,银海中心(商住楼),金牛,马鞍路
孵化园 奥克斯广场精装一居室 德商国际 环球中心随时看房,2600,56平方米,精装修,公寓,奥克斯广场>高新区>金融城,奥克斯广场,高新区,金融城
八宝街小区 1室1厅1卫 900元月 南北通透 24平,900,24平方米,简单装修,公寓,八宝街小区>青羊>八宝街,八宝街小区,青羊,八宝街
高新 大源 世豪广场 锦城南府 精装豪华套一 通气 舒适温馨,2400,50平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
年底了无中介房子直租哈,899,37.8平方米,精装修,公寓,鑫北广场>新都>斑竹园,鑫北广场,新都,斑竹园
整租丨花牌坊地铁口附近交通方便家电齐全押一付一整租随时看房,1200,45平方米,简单装修,普通住宅,抚林巷6号院>金牛>花牌坊,抚林巷6号院,金牛,花牌坊
茶店子龙湖紫宸斜对面精致标准套一，拎包入住配置全，看房方便！,1680,50平方米,精装修,普通住宅,锦西人家一期>金牛>交大路,锦西人家一期,金牛,交大路
嘉年华青年城精装跃层套一出租押一付一无中介天府三五街拎包入住,2100,35平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
太古里 恒大都汇华庭  高端小区 环境好 南北通透,5000,68平方米,精装修,普通住宅,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
月付（文化宫地铁口）家电全交通方便拎包入住,630,14平方米,精装修,平房,香格里拉花园>青羊>贝森,香格里拉花园,青羊,贝森
整租丨中医大省医院地铁口附近交通方便家电齐全押一付一随时看房,1000,30平方米,简单装修,普通住宅,西雅苑>青羊>石人,西雅苑,青羊,石人
现实房源，房主直签，押一付一，无杂费,950,35平方米,简单装修,公寓,双栅子街17号院>锦江>大慈寺,双栅子街17号院,锦江,大慈寺
软件园新川科技园 华府大道天府五街嘉年华青年城正规套一河景房,1900,62平方米,精装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
可短租 可月付 270度全景落地窗太古里春熙路精装居家公寓,5500,90平方米,精装修,公寓,朗御>锦江>东大街,朗御,锦江,东大街
龙湖精装公寓！可以短租！可以押一付一！拎包即可入住。,1000,28平方米,精装修,公寓,龙湖时代天街>高新西区>西源大道,龙湖时代天街,高新西区,西源大道
高新区 华阳地铁口 苹果跃层精装套一 拎包入住 租房带车位,2000,60平方米,精装修,公寓,中德英伦世邦(L区商住楼)>高新区>南延线,中德英伦世邦(L区商住楼),高新区,南延线
高新区 大源站 世豪广场 精装套一 水电气全通 干净卫生舒适,2000,48平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
年底了鑫北广场直租.租金便宜,899,35.6平方米,精装修,公寓,鑫北广场>新都>斑竹园,鑫北广场,新都,斑竹园
恒大都汇华庭 高端小区 精装套一 5000元月 南北通透,5000,68平方米,精装修,普通住宅,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
华府大道嘉年华青年城精装跃层套一出租 押一付一无中介天府三街,2200,35平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
（月付）（可短租）靠近文化宫地铁口20米,500,14平方米,精装修,其他,金沙春>青羊>府南新区,金沙春,青羊,府南新区
整租丨花牌坊地铁口附近交通方便家电齐全押一付一随时看房,1100,35平方米,简单装修,普通住宅,抚林巷8号院>金牛>花牌坊,抚林巷8号院,金牛,花牌坊
现实房源，房主直签，押一付一，无杂费,800,37平方米,简单装修,公寓,红星路一段60号院>青羊>太升路,红星路一段60号院,青羊,太升路
保利星座标间出租时代晶座保利叶语世豪广场大源欢乐颂世豪瑞丽,1300,20平方米,精装修,公寓,保利星座>高新区>大源,保利星座,高新区,大源
龙爪堰地铁站(月付)(可短租)拎包入住(交通方便）（家电全),750,14平方米,精装修,平房,水润缇香>武侯>外双楠,水润缇香,武侯,外双楠
俯瞰太古里恒大都汇华庭密码锁新风系统 恒大广场晶融汇时代豪庭,4300,78平方米,豪华装修,普通住宅,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
0中介距离地铁口100米交通方便拎包入住,950,13平方米,精装修,普通住宅,泰兴苑>成华>双桥子,泰兴苑,成华,双桥子
电梯套一，多个书房，可当小套二，超值,1700,56平方米,简单装修,普通住宅,合能东城攻略>锦江>海椒市,合能东城攻略,锦江,海椒市
建设路伊藤洋华堂sm广场龙湖三千集随时看房拎包入住,2400,65平方米,精装修,普通住宅,首创爱这城>成华>建设路,首创爱这城,成华,建设路
地铁3号线 昭觉南路站 押一付三 多层套一出租 南北通透,950,42平方米,简单装修,普通住宅,仁义路社区>成华>驷马桥,仁义路社区,成华,驷马桥
三号线 前锋路 动物园 熙悦广场 金科中心 融锦城 拎包入住,1390,55平方米,精装修,普通住宅,金科中心>成华>动物园,金科中心,成华,动物园
软件园 五街地铁旁 自住装修 超jj好房温馨舒适 拎包入住,1899,31平方米,精装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
现实房源，房主直签，押一付一，无杂费,800,34平方米,简单装修,公寓,红星路四段66号院>锦江>春熙路,红星路四段66号院,锦江,春熙路
哥谭精装标间 汇锦城 香悦城 两江国际 近世纪城环球中心急租,1600,40平方米,精装修,公寓,哥谭>高新区>世纪城,哥谭,高新区,世纪城
五福佳苑 1室1厅1卫 1500元月 电梯房 50平,1500,50平方米,简单装修,普通住宅,五福佳苑>金牛>五块石,五福佳苑,金牛,五块石
转角落地窗 春熙路恒大都汇华庭 晶融汇朗御对面 温馨居家拎包,4200,75平方米,精装修,普通住宅,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
金融城地铁口 银泰中心交子大道 中国华商 精装套一民用水电气,7500,109平方米,豪华装修,普通住宅,华侨凤凰中国华商金融中心>高新区>金融城,华侨凤凰中国华商金融中心,高新区,金融城
3号 地铁李家沱地铁口 府青路 高笋塘 解放路 驷马桥,1700,45平方米,精装修,公寓,同创公寓>成华>八里小区,同创公寓,成华,八里小区
月付，西南财大地铁口，麦德龙，环境优美，圣诞特价，手慢则无,1000,30平方米,精装修,普通住宅,草堂北路7号院>青羊>西南财大,草堂北路7号院,青羊,西南财大
必看好房 1号线华府大道 精装套一 小区楼下是商业街和广场,1999,31平方米,精装修,公寓,乐活公社>高新区>中和,乐活公社,高新区,中和
汇融国际对面，锦江大道和锦华路交汇处锦馨家园精装套一家具家电,1800,55平方米,精装修,普通住宅,锦馨家园B区>锦江>琉璃厂,锦馨家园B区,锦江,琉璃厂
天府五街华府大道软件园银泰城套一房冬直租,2000,60平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
四河地铁口精装套一房东对接房东签约稀有房源先到先得随时看房,1700,59平方米,精装修,公寓,美高登A座>天府新区>华阳,美高登A座,天府新区,华阳
保真实拍！免中间费可短租办公，华商奥克斯东方希望中海随时看房,3800,80平方米,精装修,公寓,奥克斯广场>高新区>金融城,奥克斯广场,高新区,金融城
0中介距离地铁口100米交通方便拎包入住,1100,13平方米,精装修,普通住宅,望江锦苑>锦江>川师,望江锦苑,锦江,川师
地铁口 超精装家具家电齐全看房有钥匙 房子肯定看得起,1300,36平方米,精装修,公寓,鲜花优活居>新都>石油大学,鲜花优活居,新都,石油大学
无中介 精装修 东立国际广场 春熙路 金科星耀天都 3号线,1750,56平方米,精装修,普通住宅,东立国际广场>成华>驷马桥,东立国际广场,成华,驷马桥
国嘉新视界 1室1厅1卫 2000元月 50平 电梯房,2000,50平方米,简单装修,普通住宅,国嘉新视界>锦江>牛市口,国嘉新视界,锦江,牛市口
火车南站高新双地铁口宜家欧尚凯德财富领域中海翠屏湾精装套一,2400,51平方米,精装修,普通住宅,中海翠屏湾>武侯>火车南站,中海翠屏湾,武侯,火车南站
无物业精装套1，停车便宜，家电家具齐全带空调，拎包入住,1000,50平方米,精装修,普通住宅,万鑫苑>龙泉驿>西河,万鑫苑,龙泉驿,西河
金融城核心 奥克斯悠方誉峰遇见 精装套一可短租 正朝南地铁口,2800,42平方米,豪华装修,公寓,誉峰遇见>高新区>金融城,誉峰遇见,高新区,金融城
九眼桥附近套一整租.押一付一家具家电齐全随时看房拎包入住,1280,20平方米,简单装修,普通住宅,金泉街50号院>锦江>合江亭,金泉街50号院,锦江,合江亭
东方华大广场 1室1厅 1200元月 精装,1200,45平方米,精装修,普通住宅,东方华大广场>龙泉驿>龙泉驿周边,东方华大广场,龙泉驿,龙泉驿周边
百维广场精装房。无中阶费。可月付。离富士康近。水电气三通民用,1200,36平方米,精装修,普通住宅,百维广场>郫都>红光,百维广场,郫都,红光
天府三街地铁口海洋中心 香年广场精装套一中央空调带地暖随时看,3000,60平方米,精装修,公寓,莱普敦公寓>高新区>世纪城,莱普敦公寓,高新区,世纪城
房东急租 五根松地铁口 精装住宅套一 水电气三通,1950,55平方米,精装修,普通住宅,怡馨家园>高新区>南延线,怡馨家园,高新区,南延线
0中介1距离地铁口100米交通方便拎包入住,700,13平方米,精装修,普通住宅,华凌尚城>金牛>五块石,华凌尚城,金牛,五块石
小广场 兰天城市广场 精装 电梯 套一， 河景房，一次出租,1100,55平方米,精装修,普通住宅,兰天城市广场>金堂>金堂城区,兰天城市广场,金堂,金堂城区
天府五街 华府大道 软件园 新怡花园 新川科技园 龙腾苑三街,1600,50平方米,精装修,普通住宅,新怡花园B区>高新区>南延线,新怡花园B区,高新区,南延线
套一住宅来了！！ 价格温柔的很~随时看房 家具家电全齐,1000,50.6平方米,简单装修,普通住宅,红湖公园城>新都>大丰,红湖公园城,新都,大丰
无中介 中海兰庭五号线大源站 大源中央公园 水街铁像寺！,1600,50平方米,精装修,普通住宅,清凤时代城>高新区>大源,清凤时代城,高新区,大源
急租！天府五街地铁口 嘉年华精装套二 临近软件园 居家感十足,2000,36平方米,精装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
成都理工 地铁口 平层公寓 降价急租 急租 随时看房,1600,50平方米,精装修,公寓,招商中央华城>成华>杉板桥,招商中央华城,成华,杉板桥
新上！清江西路地铁口！精装套一！有钥匙随时看房！拎包入住,3199,60平方米,精装修,普通住宅,仁和金沙>青羊>金沙,仁和金沙,青羊,金沙
天府五街地铁口旁 精装套一 房东诚心出租 交通便利 生活方便,1998,31平方米,精装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
环球中心 锦城湖 新南四期标准套一 没有物业费 停车免费,1800,65平方米,精装修,普通住宅,新南小区(四期)>高新区>金融城,新南小区(四期),高新区,金融城
二环快速公交少陵站大石西路1室1厅1卫全装全配拎包入住,1399,52平方米,精装修,普通住宅,双楠所有阳光>武侯>外双楠,双楠所有阳光,武侯,外双楠
人民北路 金牛万达 龙湖上城 北成8号 恒大雅苑精装修带家具,1700,55平方米,精装修,普通住宅,炎华置信花千集>金牛>金牛万达,炎华置信花千集,金牛,金牛万达
精装套一   家具家电齐全   户型 方正  拎包入住,1600,50平方米,精装修,普通住宅,馨光嘉苑>青羊>金沙,馨光嘉苑,青羊,金沙
成都西站附近   精装套一   家具家电齐全  拎包入住,1600,50平方米,精装修,普通住宅,馨光嘉苑>青羊>金沙,馨光嘉苑,青羊,金沙
实图实价 东大路牛王庙精装电梯套一出租家电齐全随时可看房,2100,50平方米,精装修,普通住宅,澳龙名城维格>锦江>攀成钢,澳龙名城维格,锦江,攀成钢
无中介 领馆国际城 天府三街 世纪城 金融城 软件园环球中心,1300,40平方米,精装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
南湖春天 标准套一 现代风 年轻人都喜欢 家具家电齐全提前约,1600,50平方米,精装修,普通住宅,南湖春天>天府新区>南湖,南湖春天,天府新区,南湖
西单商场对面 仁和金沙 周边配套齐全 豪装套一 拎包入住哦！,3200,68平方米,精装修,普通住宅,仁和金沙>青羊>金沙,仁和金沙,青羊,金沙
牛市口海椒市精装套一出租，房东自住，温馨舒适，拧包入住。,2000,53平方米,精装修,普通住宅,合能东城攻略>锦江>海椒市,合能东城攻略,锦江,海椒市
中海翠屏湾精装套一 火车南站金融城誉峰 叠翠峰仁和新城 宜家,2400,51平方米,精装修,普通住宅,中海翠屏湾>武侯>火车南站,中海翠屏湾,武侯,火车南站
现代大气高楼层轻奢居家拎包入住！春熙路太古里时代豪庭恒大广场,4200,78平方米,精装修,普通住宅,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
天府三街地铁口 高品质楼盘莱普顿公寓 精装套一 品牌家具,2800,79平方米,精装修,普通住宅,莱普敦公寓>高新区>世纪城,莱普敦公寓,高新区,世纪城
沃尔玛 成都七中 锦城湖大源地铁附近 家电齐全 无中介特价房,1650,53平方米,精装修,普通住宅,清凤时代城>高新区>大源,清凤时代城,高新区,大源
精装美甲标间 已搬空随时看房 万达锦华城 免装修 直接入场,1500,42平方米,精装修,普通住宅,万达锦华城(商住楼)>锦江>万达,万达锦华城(商住楼),锦江,万达
